Part Number,Unit Cost
E698CA_FREESUN,1756.5
E761BE,1074.38
E769CD,584.38
E770CA,493.5
E836AB,389.38
E838CB,
E839BA,
E852AA,220.25
E903BA,742.25
E909AA,319.13
E935BB,75.25
E997AA,248.5
L7934,19.41
L1257,14.93
L1513,228.68
L1535,222.64
L1874,4.31
L1882-3,100.95
L2029,156.26
L2120,83.59
L2159,221.81
L2722-1,64.05
L2875,159.38
L2907,8.21
L3041,7.28
L3073,5.74
L3279,52.61
L3280,36.86
L3760,11.06
L3761,7.84
L3904,19.8
L3905,8.29
L3913,61.09
L4188,14.25
L4232,22.13
L4305,8.14
L4492,161.03
L4675,10.01
L4761,17.51
L4899,3.86
L4935,30.6
L4989,9.75
L533,101.25
L489,
L5368,29.29
L5391,21.38
M1157,0.5
M915Z00001AB_ZSEM,1913.13
E829DB,68.5
L091,65.7
L4130C,4154.48
L3770,1101.38
L2167-1,261.08
E845AC,271.88
L4602,13.65
L4136-1,77.06
L4264,11.63
E889AB,87.88
M1198UND,12
C03090022965,1379.75
E936AA,93.13
L1130,235.76
L1342,5.29
L2596,229.01
L4275,
L2716,14.18
20687,530
22970,486.66
50765,206.53
51574,168.2
21341,51.67
21640,51.96
21664,51.96
21215,10.01
21305,51.86
413546,78.57
22671,44.7
60954,89
413547,58.23
20791,81.28
412922,240
20844,2791.84
40582,2750.94
21016,486.66
20599,487.66
21016-SH,488.66
21261-SH,489.66
20714,51.96
21744,51.96
20876,51.96
6044,78.57
61415,78.57
60557,58.23
60928,59.23
61416,240
50525,59.26
5011528.5,13.68
W300675,540
KLDR015,16.4
A942350B00,12.49
A9422500B00,12.49
A942400B00,12.49
SPXV015,4.79
SPXV025,4.99
FLNR030,4.63
POC550G0800S,13118.33
55824568,2725
B-089393-70,5306.67
B-089183-70,4561.67
B-089493-70,7600
B-088823-70,8141.67
034W0412AP,3878.46
034Z2000AQ,5243.08
034Z0412UT,3238.46
025W0412AT,2693.85
POC900G0800Z097,34475
55724225,1007
55731721,1515
55999360,8320
115Z0800XA,7821.54
230Z0800HA,17796.92
230Z0800AA,16178.46
POC900G0800S,33800
32.0081-UR,2.4
32.0080-UR,2.4
51574-B,168.2
60954,89
32.0017P0001-UR,1.55
32.0016P0001-UR,1.55
20687,530
21640,51.96
21305,51.86
21664,51.96
22970,486.66
16-13134,262.87
95-119900.04,254.67
95-122900.04,30.82
,
E21501074AA,1344.38
CBLFSUL0024_ZSE,81.5
CBLFSUL0026_ZSE,74.44
L3918_ZSEM,233.64
L2956-1,148.9
L943,298.33
L2395,434.47
C03090026392_ZSE,204.63
M1157,0.5
M2644,12.86
M0268C,1.44
E643FC,1260.38
E307HM,1672.88
L1897-1,3.03
C03110000712_ZSE,1642.25
M2095,2.34
M0210,0.06
L518,272.12
L5383,175
E646BB,120.5
L7934,17.71
E602EB,1613.94
E666AA,108.25
L489,181.16
L4305,7.65
L3905,7.27
L4179,7.77
L4675,8.98
L2875,90.91
L091,37.58
L5121,44.24
E829DB,49.88
L4264,9.82
L1130,223.67
L2596,155.42
L3902-1,135.79
L3770,832.2
E841EC,1172.38
L7899,30.88
L4188,14.39
L2722,58.11
S13090022964,1547
C03090024588_ZSE,268.56
L4275,304.43
E839BA,590.38
E838CB,531.88
L2589,230.49
L2167-1,198.6
L442,146.06
L3792A,5850.06
170M5536,515.83
20264-000,3253.7
20436-000,539.1
40088-000,25.92
50031-000,452.35
20722-434,107.07
20722-495,118.18
20723-000,185.33
20878-002,268.74
20725-201,962.94
40174-010,901.47
25162-000,90.91
25163-000,73.76
25165-001,3.07
25201-110,234.4
60007-000,0.27
60503-000,1.23
50041-000,101.54
50191-000,159.3
50224-000,309.05
50186-000,335.77
50187-000,124.32
50267-000,69.34
50235-001,5.15
50235-002,5.22
50235-003,4.96
50235-004,5.06
50235-006,5.22
50235-010,5.28
50235-012,20.06
50237-000,304.67
50215-000,790.56
50246-000,96.22
50221-000,4639.3
50308-000,1975.44
UC-8112,1000
EDS-408A,1150
Quint4,775
TRIO,575
5232i,300
SR30,3125
IKS-G6524A,4250
TTC-6-3,250
IACY.7HP-01,199.51
IACY.7HN-01,123.54
IACY.6HP-01,176.9
IACY.6HN-01,116.41
IACY.4HP-01,141.57
IACY.4HN-01,85.32
IACY.3HP-01,100.49
IACY.3HN-01,100.49
IACY.RILF-5.PV4,22.91
IACY.RILF-15.MC4,22.91
IACY.RILF-20.MC4,22.91
IACY.RILF-25.MC4,22.91
IACY.RILF-30.MC4,22.91
2270024-1,1.5
2270025-1 ,1.5
32.0080-UR,1.15
32.0081-UR,1.15
32.0016P0001UR,1.05
32.0017P0001UR ,1.05
AST01143,1550
AST02090,8300
BP000728,19.6
BP001546,397
BP001960,131
BP002521,110
BP003571,56
BP003863,595
BP004611,43.4
BP004846,75
BP004847,94
BP005123,781.2
BP005159,90
BP005161,155
BP005628,757.5
BP005634,700
BP005649,500
BP005800,153.3
BP005807,987.37
BP005808,1875.22
CM000127,220
CM000444,60
EA000004,115
EA000080,1108.8
EA000084,151
HB000159,72
HB000187,97.5
HB000241,18
HH000085,75
KM000196,45
KM000197,45
KM000198,45
KN000756,336
KN000829,9000
KN000835,103
KN000849,950
KT000237,16
KT000273,20
KT000307,11
KT000309,18
KT000402,85
KT000442,6
KT000463,16
KT000466,23
KT000467,16
KT000485,40.7
ZE000135,62
ZE000147,469.92
ZE000213,240
LMB.IACY.02,1051.03
EDS-208A,235
ioLogik E1260,279
Q.PEAK DUO L-G5.2 400,106
FS-4120,64.35
FS-4115,64.35
FS-4117,64.35
FS-4112,64.35
FS-4117A-3,64.35
FS-4120A-3,64.35
FS-6445A,205
FS-6435A,205
FS-6470A-P,214
FS-6465A-P,214
FS-6460A-P-I,214
FS-4120A-3,64.35
FS-4112A-2,64.35
FS-4115A-3,64.35
JKM315P-72,255
Q PEAK DUO L-G5.2 400,106
FS-6460A-P,214
Q.PEAK DUO L-G5.2 390,106
FS-6460A-P,214
FS-6455A-P,214
FS-6450A,205
FS-6445A,205
LR5-72HBD 545,163
FS-6465A-P,214
FS-6470-P-I,214
3-125-1500-2-20,6840
32.0017P0001UR,1.15
32.0081-UR,1.15
32.0080-UR,1.15
500-01ALPV-2KVXLP-BK,2200
PV-10-STR-BLK,400
PV-10-STR-RED,400
BARE-SD-4-SOL,1100
500-01ALPV-2KVXLP-RD,2200
XT4HU3200AFJ000XXX,1445
H4CFM4DM,3.21
H4SMM6DM,3.21
3M 130C-3/4X30FT,19.75
3M 5743 KIT,330.46
BURNDY YS34A1,30.47
BURNDY YA34A3,22.96
3M 33+,7.95
3M SCOTCHKOTEFD,42.14
RIG-2-HD,231.94
BURNDY YGHC2C2,5.04
LDC250,528.2
LDC400,528.2
ISPOV-WITH-AGH-PV,3345
26630,139.99
C-TEC2410-1-SAU,529.93
LDC450,257.72
LDC250,257.72
SPF001.T,2.25
FLNR010.T,5.32
SPFJ400.X,86.67
COMETH,335
D18940,7821.54
D18941,16178.46
D18942,3878.46
D18943,3238.46
D19076,17796.92
D19077,5243.08
D19078,2693.85
Cumberland TMEIC Spares,39520
C088368,101.5
C088368,101.5
C088368,101.5
C088368,120
C088368,120
C088368,120
C088368,120
COE_9910,2972.34
60-001050032204,1044
6AA-200-001-001,2400
L5382,240.96
E602EB,3269
E666AA,97.25
L4931,269.64
L4305,7.5
L3905,6.98
L4179,7.35
L4675,8.24
L2875,90
L091,35.93
L5121,41.63
E829DB,40.8
L4264-1,9.36
L1130,212.74
L2596,136.84
L3902-1,131.29
L3770,549.25
L7899,29.62
L2722-1,63.32
M2646,19.01
L4188,14.25
L3902-3,131.29
L2722,549.72
L3792A,5850.06
M0268C,1.31
M2095,2.34
E21501074AA,1344.38
L3918_ZSEM,268.45
L943,333.79
L5382,175.04
L3918_ZSEM,244.89
M2095,2.34
L2589,269.77
L1882-3,121.25
C03110000712_ZSEM,1800
L943,386.82
L2395,434.47
E21501074AA,1369.38
M2095,2.34
M0210,0.06
M1157,0.5
E21501074AA,1403.38
L5383,228.83
E307HM,2227.88
L047,20.1
L116,19.28
L3695,5006.21
URN-36 175/300:1 0.3Y 1000VA,1910.26
M774J2419-H,9260
757849999-H,2065
757849999-H,2065
170M7350,187.11
URN-36-175/300:1-115/67.08 V 0.3,3617.72
5787107A4264,1607.28
VRA.V0A31.5,10254.78
,64777.15
PHOENIX CONTACT QUINT-PS/1AC/24DC/10,311.14
